canonicalClubId,workbookId,displayName,league,templateKey,motifSourceType,primaryMotif,secondaryMotif,compositionKey,sourceUrl,rationale,reviewStatus,assetPath,fieldColorRole,ringColorRole,motifColorRole,ringTreatment
"ita_inter","ita1_inter","国际米兰","Serie A（20）","BLUE_BLACK","CLUB_RECOGNIZED_SYMBOL","白色蛇头与连续上扬S形蛇身","断开的少量环形切口","SERPENT_ASCENT_HIGH_CONTRAST","https://www.inter.it/en/news/2021-03-27-history-inter-crest","官网队徽史确认蛇是长期身份符号；采用白色连续S形蛇身与原创蛇头，避免字母、旧椭圆、Visconti蛇徽及其吞人构图。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-inter.svg","crestPrimary","crestSecondary","crestNeutral","NEUTRAL_SEPARATOR"
"ita1_ac_milan","ita1_ac_milan","AC米兰","Serie A（20）","RED_BLACK","CLUB_NICKNAME","正面双角獠牙魔鬼脸","红色怒眉与尖胡","DEVIL_FACE_HORNS_FANGS_GOATEE","https://www.acmilan.com/en/history","官网创立叙事将球队定义为魔鬼；以正面双角、怒目、獠牙和尖胡构成高对比原创魔鬼脸，避开官方Diavoletto角色、十字、椭圆盾与三叉戟。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-ac-milan.svg","crestSecondary","crestPrimary","crestNeutral","DIRECT_RING"
"ita_juventus","ita1_juventus","尤文图斯","Serie A（20）","BLACK_WHITE","OFFICIAL_MASCOT","疾跑斑马头颈","三道弯曲黑白条纹","ZEBRA_PROFILE_STRIPE_ARC","https://www.juventus.com/en/news/articles/juventus-launches-jkids","官网将斑马J列为儿童区正式吉祥物；重绘为无服装、无字母的侧向斑马，不使用现行J标或官方吉祥物造型。","PRODUCT_APPROVED",""
"ita1_atalanta","ita1_atalanta","亚特兰大","Serie A（20）","BLUE_BLACK","CLUB_RECOGNIZED_SYMBOL","向前运动的白色女神侧影与脸部轮廓","不定量宽幅蓝色风带／披风式负形","GODDESS_RUNNING_HIGH_CONTRAST_WIND_VEIL","https://en.atalanta.it/news/la-dea-al-centro-cambio-logo-22-05-2026","官网确认女神为长期核心符号；以高对比白色侧影和宽幅蓝色风带原创重构，明确不采用现行队徽特有的五缕头发设计。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-atalanta.svg","crestSecondary","crestPrimary","crestNeutral","NEUTRAL_SEPARATOR"
"ita1_napoli","ita1_napoli","那不勒斯","Serie A（20）","SKY_BLUE","CITY_CULTURE","维苏威火山的双峰轮廓","那不勒斯湾弧线","VESUVIUS_BAY_CRESCENT","https://www.parconazionaledelvesuvio.it/","维苏威由官方公园资料支撑；海湾弧仅作为原创构图辅助。不把天蓝圆章或字母N当作图腾。","PRODUCT_APPROVED",""
"ita1_como","ita1_como","科莫","Serie A（20）","SKY_BLUE","CITY_CULTURE","深海军蓝湖面上的横向山脊","分叉湖湾、小船负形与雪线","LAKE_MOUNTAIN_FORK","https://www.comune.como.it/vivere-il-comune/luoghi/Piazza-Cavour/","市政府页面所示的广场面向湖盆与城市水岸景观；以深色横向山脊和分叉湖湾构成原创高对比图腾，不复用俱乐部字母或盾章。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-como.svg","crestPrimary","crestSecondary","crestSecondary","DIRECT_RING"
"ita_bologna","ita1_bologna","博洛尼亚","Serie A（20）","BLUE_RED","CITY_CULTURE","米白色一高一斜双塔","蓝／红砖线与双段外环","TWO_TOWERS_ASYMMETRIC","https://www.bolognawelcome.com/en/places/towers-historic-buildings/the-two-towers-garisenda-and-degli-asinelli-eng","市级旅游资料明确双塔是博洛尼亚公认象征；以深海军蓝 field 中的高对比双塔与双段外环区别于其他塔、城墙和桥梁题材。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-bologna.svg","crestOutline","SPLIT_PRIMARY_ACCENT_ALT","crestNeutral","NEUTRAL_SEPARATOR"
"ita1_fiorentina","ita1_fiorentina","佛罗伦萨","Serie A（20）","PURPLE_PINK","CITY_CULTURE","三孔老桥的拱形轮廓","阿诺河单线与悬廊横带","PONTE_VECCHIO_THREE_ARCH","https://www.feelflorence.it/en/points-interest/ponte-vecchio","市官方旅游资料称老桥为城市地标；以三孔桥和河线代替百合、徽章和紫色字标，避免接近现实队徽。","PRODUCT_APPROVED",""
"ita1_lazio","ita1_lazio","拉齐奥","Serie A（20）","SKY_BLUE","CLUB_RECOGNIZED_SYMBOL","白色俯冲前的罗马鹰","天蓝翼部切面与七丘地平线","EAGLE_DIVE_SEVEN_HILLS","https://www.sslazio.it/en/club/storia-del-club/storia","官网队史把罗马帝国鹰作为早期俱乐部符号；采用高对比白鹰、斜下俯冲与七丘线，不复制张翼覆盾构图。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-lazio.svg","crestSecondary","crestPrimary","crestNeutral","DIRECT_RING"
"ita1_roma","ita1_roma","罗马","Serie A（20）","RED_GOLD","CLUB_RECOGNIZED_SYMBOL","金色右向张口咆哮狼头","长吻、犬齿与后颈毛束","WOLF_HEAD_SNARL_FANGS_MANE","https://www.asroma.com/en/news/61619/on-this-day-the-lupetto-becomes-an-official-club-logo","官网将狼头列为俱乐部标志；以金色长吻、张口犬齿和后颈毛束构成原创咆哮狼头，不直接描摹用户提供的图库参考，并避开母狼哺育双子结构。","VISUAL_SAMPLE_APPROVED","public/assets/clubs/crests/ita-roma.svg","crestSecondary","crestPrimary","crestNeutral","DIRECT_RING"
