templateKey,crestPrimary,crestSecondary,crestNeutral,crestOutline,rationale,reviewStatus
"BLUE_BLACK","#164A8A","#07162D","#F7F8FC","#102A52","蓝与近黑承载主体；浅色只用于少量识别点和轮廓留白。","VISUAL_SAMPLE_READY"
"BLACK_WHITE","#F3F1EA","#1B2724","#FFFFFF","#23322C","浅纸与近黑形成黑白身份，深绿黑只作外轮廓。","VISUAL_SAMPLE_READY"
"SKY_BLUE","#78C8EF","#0B3556","#F7FBFD","#123E60","天蓝为主识别，海军蓝提供圆形承载与清晰轮廓。","VISUAL_SAMPLE_READY"
"ROYAL_BLUE","#19468A","#0F356F","#FAFCFF","#193E7A","皇家蓝与深蓝维持稳定的冷色层次，浅色仅作小面积留白。","VISUAL_SAMPLE_READY"
"RED_BLACK","#C92635","#101012","#FAF7F4","#251317","红色为运动主体，近黑为承载与外轮廓。","VISUAL_SAMPLE_READY"
"RED_WHITE","#8B1A2A","#F1D2D6","#FFF9F7","#731727","深红主视觉配柔和浅色，深红轮廓固定圆形边界。","VISUAL_SAMPLE_READY"
"BLUE_RED","#1D5AA6","#C91D2E","#F7F4EA","#10283F","蓝红双主色保持分区辨识，米白只用于连接或负形。","VISUAL_SAMPLE_READY"
"GREEN_YELLOW","#07552F","#F2C500","#FFFDF4","#0A4527","深绿承载，黄为识别强调，浅色仅补足小尺寸留白。","VISUAL_SAMPLE_READY"
"YELLOW_BLACK","#F2C500","#23241E","#FFFDF5","#302F1F","黄黑高对比，深色承担外环与轮廓。","VISUAL_SAMPLE_READY"
"CLARET_BLUE","#5C2035","#82BBD0","#FFF9F7","#532035","酒红主体配浅蓝辅助，深酒红固定圆形外轮廓。","VISUAL_SAMPLE_READY"
"ORANGE","#E47A2E","#402818","#FFF9F4","#4C2C18","橙色为唯一亮主体，棕黑承载以避免大面积低质感棕色。","VISUAL_SAMPLE_READY"
"PURPLE_PINK","#CA8AE3","#3B214E","#FFF9FE","#43235A","紫粉用于点亮，深紫负责稳定档案式承载。","VISUAL_SAMPLE_READY"
"YELLOW_BLUE","#F2C500","#102B55","#FFFDF5","#153660","黄蓝由深海军蓝承载，黄色用于主图腾或高亮。","VISUAL_SAMPLE_READY"
"RED_GOLD","#E4B945","#621927","#FFF9F1","#651D29","金黄只作强调，深红承担大面积背景和边界。","VISUAL_SAMPLE_READY"
