canonicalClubId,workbookId,displayName,league,templateKey,reason,reviewStatus
"eng_arsenal","eng1_arsenal","阿森纳","Premier League（20）","RED_WHITE","红色主视觉、白色辅助，归入 RED_WHITE。","PRODUCT_APPROXIMATION"
"eng1_chelsea","eng1_chelsea","切尔西","Premier League（20）","ROYAL_BLUE","深蓝或蓝白主视觉，归入 ROYAL_BLUE。","PRODUCT_APPROXIMATION"
"eng_liverpool","eng1_liverpool","利物浦","Premier League（20）","RED_WHITE","红色主视觉、白色辅助，归入 RED_WHITE。","PRODUCT_APPROXIMATION"
"eng1_manchester_city","eng1_manchester_city","曼城","Premier League（20）","SKY_BLUE","天蓝主视觉，归入 SKY_BLUE。","PRODUCT_APPROXIMATION"
"eng1_manchester_united","eng1_manchester_united","曼联","Premier League（20）","RED_WHITE","红色主视觉、白色辅助，归入 RED_WHITE。","PRODUCT_APPROXIMATION"
"eng1_aston_villa","eng1_aston_villa","阿斯顿维拉","Premier League（20）","CLARET_BLUE","酒红与蓝色主视觉，归入 CLARET_BLUE。","PRODUCT_APPROXIMATION"
"eng1_newcastle_united","eng1_newcastle_united","纽卡斯尔联","Premier League（20）","BLACK_WHITE","黑白或白色主视觉，归入 BLACK_WHITE。","PRODUCT_APPROXIMATION"
"eng1_tottenham_hotspur","eng1_tottenham_hotspur","托特纳姆热刺","Premier League（20）","BLACK_WHITE","黑白或白色主视觉，归入 BLACK_WHITE。","PRODUCT_APPROXIMATION"
"eng1_afc_bournemouth","eng1_afc_bournemouth","伯恩茅斯","Premier League（20）","RED_WHITE","红色主视觉、白色辅助，归入 RED_WHITE。","PRODUCT_APPROXIMATION"
"eng1_brentford","eng1_brentford","布伦特福德","Premier League（20）","RED_WHITE","红色主视觉、白色辅助，归入 RED_WHITE。","PRODUCT_APPROXIMATION"
"eng_brighton","eng1_brighton_and_hove_albion","布莱顿","Premier League（20）","SKY_BLUE","天蓝主视觉，归入 SKY_BLUE。","PRODUCT_APPROXIMATION"
"eng1_crystal_palace","eng1_crystal_palace","水晶宫","Premier League（20）","BLUE_RED","蓝红主视觉，归入 BLUE_RED。","PRODUCT_APPROXIMATION"
"eng1_everton","eng1_everton","埃弗顿","Premier League（20）","ROYAL_BLUE","深蓝或蓝白主视觉，归入 ROYAL_BLUE。","PRODUCT_APPROXIMATION"
"eng_fulham","eng1_fulham","富勒姆","Premier League（20）","BLACK_WHITE","黑白或白色主视觉，归入 BLACK_WHITE。","PRODUCT_APPROXIMATION"
"eng1_nottingham_forest","eng1_nottingham_forest","诺丁汉森林","Premier League（20）","RED_BLACK","红黑主视觉，归入 RED_BLACK。","PRODUCT_APPROXIMATION"
